EIN,cedar_uid,name,link_basis,link_tier
320248892,CE-001GM-CX,Native Ways Federation,minted 1183: GiveNative listing + IRS registration,A
237088777,CE-001GN-JP,American Indian Community House (AICH),minted 1183: GiveNative listing + IRS registration,A
873561796,CE-001GP-RF,Midwest Indigenous Immersion Network,minted 1183: GiveNative listing + IRS registration,A
850384053,CE-001GQ-Y8,Navajo Townsite Community Development Corporation,minted 1183: GiveNative listing + IRS registration,A
411632662,CE-001GR-41,Dream of Wild Health,minted 1183: GiveNative listing + IRS registration,A
161043710,CE-001GS-AT,Native American Community Services of Erie and Niagara Counties Inc,minted 1183: GiveNative listing + IRS registration,A
920139738,CE-001GT-GK,Koahnic Broadcast Corporation,minted 1183: GiveNative listing + IRS registration,A
942376538,CE-001GV-PC,Local Indians for Education,minted 1183: GiveNative listing + IRS registration,A
920937258,CE-001GW-W5,Indigenous Community Empowerment Network,minted 1183: GiveNative listing + IRS registration,A
850212504,CE-001GX-2Y,Southwestern Association for Indian Arts Inc,minted 1183: GiveNative listing + IRS registration,A
923018840,CE-001GY-8Q,Xinewh-Ding Inc,minted 1183: GiveNative listing + IRS registration,A
813500835,CE-001GZ-EG,Matriarch Inc,minted 1183: GiveNative listing + IRS registration,A
883206309,CE-001H0-SS,White Earth Reservation Sustainable Community,minted 1183: GiveNative listing + IRS registration,A
882858979,CE-001H1-ZJ,Alliance for Tribal Clean Energy Inc,minted 1183: GiveNative listing + IRS registration,A
334647979,CE-001H2-5B,Indigenous Womens Cannabis Chamber of Commerce,minted 1183: GiveNative listing + IRS registration,A
454714238,CE-001H3-B4,Honor The Earth,minted 1183: GiveNative listing + IRS registration,A
993110457,CE-001H4-HX,Georgia Harris Foundation,minted 1183: GiveNative listing + IRS registration,A
474901644,CE-001H5-QP,Native Governance Center,minted 1183: GiveNative listing + IRS registration,A
834564456,CE-001H6-XF,The Chapter House,minted 1183: GiveNative listing + IRS registration,A
921886405,CE-001H7-38,Four Mothers Collective,minted 1183: GiveNative listing + IRS registration,A
934706168,CE-001H8-91,Turtle Island Women Warriors,minted 1183: GiveNative listing + IRS registration,A
920158414,CE-001H9-FT,Ilisagvik College,minted 1183: GiveNative listing + IRS registration,A
823541909,CE-001HA-NK,Akiptan,minted 1183: GiveNative listing + IRS registration,A
810330646,CE-001HB-VC,All Nations Health Center Inc,minted 1183: GiveNative listing + IRS registration,A
460879346,CE-001HC-15,Keya Foundation Inc,minted 1183: GiveNative listing + IRS registration,A
860096776,CE-001HD-7Y,Cook Native American Ministries Foundation,minted 1183: GiveNative listing + IRS registration,A
472197004,CE-001HE-DQ,Tatanka Funds Inc.,minted 1183: GiveNative listing + IRS registration,A
472188252,CE-001HF-KG,Wambli Ska Society,minted 1183: GiveNative listing + IRS registration,A
412014273,CE-001HG-S9,Indian Land Tenure Foundation,minted 1183: GiveNative listing + IRS registration,A
841701476,CE-001HH-Z2,OJI:SDA' Sustainable Indigenous Futures,minted 1183: GiveNative listing + IRS registration,A
462523191,CE-001HJ-5V,Mewinzha Ondaadiziike Wiigaming,minted 1183: GiveNative listing + IRS registration,A
813768917,CE-001HK-BM,Bluebird Cultural Initiative,minted 1183: GiveNative listing + IRS registration,A
825289840,CE-001HM-HD,Native Star Foundation,minted 1183: GiveNative listing + IRS registration,A
992953150,CE-001HN-Q6,Santa Fe Indigenous Center,minted 1183: GiveNative listing + IRS registration,A
