ein,uei,org_name,match_method,match_evidence,total_fed_assist_M,canonical_name_token_match,ein_confidence_tier,ein_funnel_stage,confidence_tier,confidence_tier_rationale,review_flag,source_dataset,built_date,uei_already_in_cedar_ledger
161448788,HYBNGZAEENR3,SENECA NATION OF INDIANS ECONOMIC DEVELOPMENT COMPANY,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state NY; matched assistance obligations $1.475M; EIN token-matched to tribe CE-001AB-RW (Seneca-Cayuga Nation); built by enrich_need_v2.py step [4]",1.475,Seneca-Cayuga Nation,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,0
237135915,KENVLT56V343,OGLALA LAKOTA COLLEGE,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state SD; matched assistance obligations $201.887M; EIN token-matched to tribe CE-0017T-33 (Oglala Sioux); built by enrich_need_v2.py step [4]",201.8866543,Oglala Sioux Tribe,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,1
382419477,GH7RN4M149B4,BURT LAKE BAND OF OTTAWA AND CHIPPEWA INDIANS INC,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state MI; matched assistance obligations $0.371M; EIN token-matched to tribe CE-0014T-MK (Grand Traverse); built by enrich_need_v2.py step [4]",0.371471,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,1
562247884,PBGNW9641PL3,LUMBEE NATION TRIBAL PROGRAMS INC,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state NC; matched assistance obligations $26.387M; EIN token-matched to tribe CE-0016E-P7 (Lumbee); built by enrich_need_v2.py step [4]",26.38744904,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,1
810659126,F5QVWHNPLKL5,TUSCARORA NATION OF INDIANS OF THE CAROLINAS,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state NC; matched assistance obligations $0.944M; EIN token-matched to tribe CE-001BH-12 (Tuscarora); built by enrich_need_v2.py step [4]",0.943838,Tuscarora Nation,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,0
260807036,L32NZETMEAC5,TULALIP FOUNDATION,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state WA; matched assistance obligations $0.066M; EIN token-matched to tribe CE-001BK-DM (Tulalip); built by enrich_need_v2.py step [4]",0.06563494,Tulalip Tribes of Washington,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,1
480941796,S7A6QEB6FRY5,KICKAPOO NATION SCHOOL,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state KS; matched assistance obligations $23.586M; EIN token-matched to tribe CE-0015Q-7R (Kickapoo Tribe in Kansas); built by enrich_need_v2.py step [4]",23.5862022,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,1
592093051,HLDTLQF6RUD9,MUSCOGEE NATION OF FLORIDA INC,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state FL; matched assistance obligations $0.791M; EIN token-matched to tribe CE-0017B-9C (The Muscogee (Creek) Nation); built by enrich_need_v2.py step [4]",0.790908,The Muscogee (Creek) Nation,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,0
631211252,N6U3L6J2DMX8,UNITED CHEROKEE ANIYUNWIYA NATION,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state AL; matched assistance obligations $0.488M; EIN token-matched to tribe CE-00125-C6 (United Auburn); built by enrich_need_v2.py step [4]",0.488161,United Auburn Indian Community of the Auburn Rancheria of California,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,0
731018494,FN4EYLGWFT17,KICKAPOO TRIBE OF OKLAHOMA,normalized_name_plus_state_exact,"IRS BMF org name normalized (uppercase, non-alphanumeric stripped, whitespace collapsed) and joined to USAspending assistance recipients aggregated by (normalized recipient_name, recipient_state_code); IRS state OK; matched assistance obligations $320.350M; EIN token-matched to tribe CE-0015Q-7R (Kickapoo Tribe in Kansas); built by enrich_need_v2.py step [4]",320.3499874,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,A,verified_strict,B,"Name-plus-state exact join on normalized strings, no UEI-level verification; algorithmic and unreviewed",,IRS EO BMF x USAspending assistance prime awards,2026-08-05,1
