node,identifier_type,identifier,observed_name,datasets,n_datasets,rows_observed,usd_observed,degree,blocked,block_reason,resolved_entity,resolved_tier,resolution_hops,one_to_many_defect,built_date
DUNS:001118574,DUNS,001118574,NORTHERN CHEYENNE TRIBE,faads,1,21,2345143.0,1,,,CE-0017N-56,B,1,,2026-08-26
DUNS:003849833,DUNS,003849833,CHEYENNE RIVER SIOUX TRIBE,faads,1,31,5004423.6,1,,,CE-0013B-NC,B,1,,2026-08-26
DUNS:006756840,DUNS,006756840,INDIAN FAMILY HEALTH CLINIC OF GREAT FALLS INC,faads,1,2,24018.0,1,,,CE-001EW-J5,B,1,,2026-08-26
DUNS:008572435,DUNS,008572435,"COMANCHE, CITY OF",faads,1,2,11606.0,1,,,CE-0013G-K9,B,1,,2026-08-26
DUNS:009851770,DUNS,009851770,WARM SPRINGS HOUSING AUTHORITY,faads,1,1,1442976.0,1,,,CE-001CA-W3,B,1,,2026-08-26
DUNS:010578263,DUNS,010578263,NORTHERN ARAPAHO HOUSING AUTHORITY,faads,1,3,3963646.0,1,,,CE-0017G-79,B,1,,2026-08-26
DUNS:012707014,DUNS,012707014,NORTHWEST INUPIAT HOUSING AUTHORITY,faads,1,3,5119712.0,1,,,CE-0002B-CK,B,1,,2026-08-26
DUNS:014390905,DUNS,014390905,SYCUAN BAND OF THE KUMEYAAY NATION,faads,1,1,0.0,1,,,CE-001B4-KX,B,1,,2026-08-26
DUNS:014795181,DUNS,014795181,DUCK VALLEY HOUSING AUTHORITY,faads,1,1,990362.0,1,,,CE-00144-GD,B,1,,2026-08-26
DUNS:017442286,DUNS,017442286,MENOMINEE INDIAN SCHOOL DISTRICT,faads,1,5,4127488.0,1,,,CE-00172-KB,B,1,,2026-08-26
