ferc_docket_party_id,docket_number,subdocket,docket_program,party_name_as_recorded,party_role,party_role_basis,n_filings_by_this_party_on_docket,resolved_native_entity_id,resolved_native_entity_name,resolved_native_entity_class,entity_link_method,entity_link_tier,entity_link_refusal_reason,source_url,built_date,cedar_uid
FDP-000339,AD02-5,000,administrative / policy,PALA BAND OF MISSION INDIANS,FILER,ferc_docket_filings.filer_organization_as_recorded,2,CE-00183-YM,Pala,Federally recognized tribe,exact_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-00183-YM
FDP-000419,CP10-41,000,"natural gas certificate, LNG and pipeline (NGA section 3/7)",WASHOE TRIBE OF NEVADA AND CALIFORNIA,FILER,ferc_docket_filings.filer_organization_as_recorded,1,CE-001C1-62,Washoe,Federally recognized tribe,core_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-001C1-62
FDP-000730,CP23-516,000,"natural gas certificate, LNG and pipeline (NGA section 3/7)",Mississippi Band of Choctaw Indians,FILER,ferc_docket_filings.filer_organization_as_recorded,1,CE-00179-XT,Mississippi Choctaw,Federally recognized tribe,exact_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-00179-XT
FDP-001023,EL20-73,000,electric complaints and declaratory orders,HOOPA VALLEY INDIAN TRIBE,FILER,ferc_docket_filings.filer_organization_as_recorded,1,CE-00152-9B,Hoopa,Federally recognized tribe,official_name_containment,B,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-00152-9B
FDP-001937,P-10855,000,hydropower licence / relicensing (FPA Part I),KEWEENAW BAY INDIAN COMMUNITY,FILER,ferc_docket_filings.filer_organization_as_recorded,5,CE-00160-29,Keweenaw,Federally recognized tribe,official_name_containment,B,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-00160-29
FDP-002106,P-120,000,hydropower licence / relicensing (FPA Part I),COLD SPRINGS RANCHERIA,FILER,ferc_docket_filings.filer_organization_as_recorded,1,CE-0013D-1Y,Cold Springs,Federally recognized tribe,exact_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-0013D-1Y
FDP-002383,P-12486,000,hydropower licence / relicensing (FPA Part I),Shoshone-Bannock Tribes,FILER,ferc_docket_filings.filer_organization_as_recorded,1,CE-0014J-4B,Shoshone-Bannock,Federally recognized tribe,exact_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-0014J-4B
FDP-002563,P-12569,000,hydropower licence / relicensing (FPA Part I),Columbia River Inter-Tribal Fish Commission,FILER,ferc_docket_filings.filer_organization_as_recorded,1,CE-000R6-WP,Columbia River Inter-Tribal Fish Commission,Intertribal Organization,exact_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-000R6-WP
FDP-002815,P-13317,000,hydropower licence / relicensing (FPA Part I),Bishop Paiute Tribe,FILER,ferc_docket_filings.filer_organization_as_recorded,3,CE-0012F-80,Bishop Paiute,Federally recognized tribe,exact_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-0012F-80
FDP-002897,P-13404,000,hydropower licence / relicensing (FPA Part I),PEORIA TRIBE OF INDIANS OF OKLAHOMA,FILER,ferc_docket_filings.filer_organization_as_recorded,1,CE-00189-2A,Peoria Tribe of Indians of Oklahoma,Federally recognized tribe,exact_name,A,,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-26,CE-00189-2A
